isbn13,isbn10,title,authors,categories,description,thumbnail,average_rating,num_pages,cleaned_description,simple_categories_binary,genre
9780060837556,0060837551,The Thorn Birds,Colleen McCullough,Fiction,"A saga of three generations of the indomitable Cleary family begins in the early 1900s when Paddy Cleary, a poor New Zealand farm laborer, moves his wife and children to the Australian sheep station owned by his wealthy sister, in a new edition of the classic novel of forbidden love between young Meggie Cleary and Father Ralph de Bricassart. Reprint. 15,000 first printing.",http://books.google.com/books/content?id=mtBZngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23,673.0,saga three generation indomitable cleary family begin early paddy cleary poor new zealand farm laborer move wife child australian sheep station owned wealthy sister new edition classic novel forbidden love young meggie cleary father ralph de bricassart reprint first printing,fiction,Literature & Drama
9780060838591,0060838590,Krakatoa,Simon Winchester,History,"Simon Winchester, New York Times bestselling author of The Professor and the Madman, examines the legendary annihilation in 1883 of the volcano-island of Krakatoa, which was followed by an immense tsunami that killed nearly forty thousand people. The effects of the immense waves were felt as far away as France. Barometers in Bogotá and Washington, D.C., went haywire. Bodies were washed up in Zanzibar. The sound of the island's destruction was heard in Australia and India and on islands thousands of miles away. Most significant of all -- in view of today's new political climate -- the eruption helped to trigger in Java a wave of murderous anti-Western militancy among fundamentalist Muslims, one of the first outbreaks of Islamic-inspired killings anywhere. Krakatoa gives us an entirely new perspective on this fascinating and iconic event. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",http://books.google.com/books/content?id=U4wywQfl5s4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.87,464.0,simon winchester new york time bestselling author professor madman examines legendary annihilation volcanoisland krakatoa followed immense tsunami killed nearly forty thousand people effect immense wave felt far away france barometer bogot washington dc went haywire body washed zanzibar sound island destruction heard australia india island thousand mile away significant view today new political climate eruption helped trigger java wave murderous antiwestern militancy among fundamentalist muslim one first outbreak islamicinspired killing anywhere krakatoa give u entirely new perspective fascinating iconic event p edition feature extra page insight book including author interview recommended reading,nonfiction,Biography & History
9780060839789,0060839783,The Professor and the Madman,Simon Winchester,Biography & Autobiography,"The Professor and the Madman, masterfully researched and eloquently written, is an extraordinary tale of madness, genius, and the incredible obsessions of two remarkable men that led to the making of the Oxford English Dictionary -- and literary history. The compilation of the OED began in 1857, it was one of the most ambitious projects ever undertaken. As definitions were collected, the overseeing committee, led by Professor James Murray, discovered that one man, Dr. W. C. Minor, had submitted more than ten thousand. When the committee insisted on honoring him, a shocking truth came to light: Dr. Minor, an American Civil War veteran, was also an inmate at an asylum for the criminally insane. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",http://books.google.com/books/content?id=D4KblwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.84,242.0,professor madman masterfully researched eloquently written extraordinary tale madness genius incredible obsession two remarkable men led making oxford english dictionary literary history compilation oed began one ambitious project ever undertaken definition collected overseeing committee led professor james murray discovered one man dr w c minor submitted ten thousand committee insisted honoring shocking truth came light dr minor american civil war veteran also inmate asylum criminally insane p edition feature extra page insight book including author interview recommended reading,fiction,Biography & History
9780060840884,0060840889,Hit Parade,Lawrence Block,Fiction,"Introspective professional assassin John Keller, the anti-hero of Hit Man and Hit List, continues to ponder his life, the ethics of his lethal career, and his possible retirement as he returns in an all-new mystery adventure. 100,000 first printing.",http://books.google.com/books/content?id=KYR8gZgkECoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.86,295.0,introspective professional assassin john keller antihero hit man hit list continues ponder life ethic lethal career possible retirement return allnew mystery adventure first printing,fiction,Literature & Drama
9780060845247,0060845244,"The Lion, the Witch and the Wardrobe Read-Aloud Edition",C. S. Lewis;Pauline Baynes,Juvenile Fiction,"Four English school children enter the magic land of Narnia through the back of a wardrobe and assist Aslan, the golden lion, in defeating the White Witch who has cursed the land with eternal winter.",http://books.google.com/books/content?id=deiyGRUp6JIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.21,189.0,four english school child enter magic land narnia back wardrobe assist aslan golden lion defeating white witch cursed land eternal winter,fiction,Childrens Books
9780060845308,0060845309,"Mambo Kings Play Songs of Love, The Tie-in",Oscar Hijuelos,Fiction,"In late 1940s New York City, Cesar and Nestor Castillo, two young Cuban musicians, are dubbed the ""Mambo Kings"" for their talent and rise to superstardom. Reissue. (Tie in to the Broadway musical production, produced by Daryl Roth, opening August 2005) (Historical Fiction)",http://books.google.com/books/content?id=rL2fOXmLquMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.68,448.0,late new york city cesar nestor castillo two young cuban musician dubbed mambo king talent rise superstardom reissue tie broadway musical production produced daryl roth opening august historical fiction,fiction,Literature & Drama
9780060846732,0060846739,Sex with the Queen,Eleanor Herman,History,"In this follow-up to her bestselling Sex with Kings, Eleanor Herman reveals the truth about what goes on behind the closed door of a queen's boudoir. Impeccably researched, filled with page-turning romance, passion, and scandal, Sex with the Queen explores the scintillating sexual lives of some of our most beloved and infamous female rulers. She was the queen, living in an opulent palace, wearing lavish gowns and dazzling jewels. She was envied, admired, and revered. She was also miserable, having been forced to marry a foreign prince sight unseen, a royal ogre who was sadistic, foaming at the mouth, physically repulsive, mentally incompetent, or sexually impotent—and in some cases all of the above. How did queens find happiness? In courts bristling with testosterone—swashbuckling generals, polished courtiers, and virile cardinals—many royal women had love affairs. Anne Boleyn flirted with courtiers; Catherine Howard slept with one. Henry VIII had both of them beheaded. Catherine the Great had her idiot husband murdered, and ruled the Russian empire with a long list of sexy young favorites. Marie Antoinette fell in love with the handsome Swedish count Axel Fersen, who tried valiantly to rescue her from the guillotine. Empress Alexandra of Russia found emotional solace in the mad monk Rasputin. Her behavior was the spark that set off the firestorm of the Russian revolution. Princess Diana gave up her palace bodyguard to enjoy countless love affairs, which tragically led to her early death. When a queen became sick to death of her husband and took a lover, anything could happen—from disgrace and death to political victory. Some kings imprisoned erring wives for life; other monarchs obligingly named the queen's lover prime minister. The crucial factor deciding the fate of an unfaithful queen was the love affair's implications in terms of power, money, and factional rivalry. At European courts, it was the politics—not the sex—that caused a royal woman's tragedy—or her ultimate triumph.",http://books.google.com/books/content?id=5GSgQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.91,336.0,followup bestselling sex king eleanor herman reveals truth go behind closed door queen boudoir impeccably researched filled pageturning romance passion scandal sex queen explores scintillating sexual life beloved infamous female ruler queen living opulent palace wearing lavish gown dazzling jewel envied admired revered also miserable forced marry foreign prince sight unseen royal ogre sadistic foaming mouth physically repulsive mentally incompetent sexually impotentand case queen find happiness court bristling testosteroneswashbuckling general polished courtier virile cardinalsmany royal woman love affair anne boleyn flirted courtier catherine howard slept one henry viii beheaded catherine great idiot husband murdered ruled russian empire long list sexy young favorite marie antoinette fell love handsome swedish count axel fersen tried valiantly rescue guillotine empress alexandra russia found emotional solace mad monk rasputin behavior spark set firestorm russian revolution princess diana gave palace bodyguard enjoy countless love affair tragically led early death queen became sick death husband took lover anything could happenfrom disgrace death political victory king imprisoned erring wife life monarch obligingly named queen lover prime minister crucial factor deciding fate unfaithful queen love affair implication term power money factional rivalry european court politicsnot sexthat caused royal woman tragedyor ultimate triumph,fiction,Biography & History
9780060850524,0060850523,Brave New World,Aldous Huxley,Fiction,Huxley's classic prophetic novel describes the socialized horrors of a futuristic utopia devoid of individual freedom.,http://books.google.com/books/content?id=V4kY9WSCgSwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98,259.0,huxley classic prophetic novel describes socialized horror futuristic utopia devoid individual freedom,fiction,Literature & Drama
9780060851989,0060851988,Queen of Babble,Meg Cabot,Fiction,"Lizzie Nichols discovers that her inability to keep her mouth shut has landed her once again in hot water when she aggravates her unfaithful boyfriend, Andy, is stranded in London, and takes a job as a bartender for a catered wedding at a French chateau, an affair that ends with the groom in disgrace, a furious bride, and Andy returning to ruin everything. 100,000 first printing.",http://books.google.com/books/content?id=KM1a1gyldeAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.69,309.0,lizzie nichols discovers inability keep mouth shut landed hot water aggravates unfaithful boyfriend andy stranded london take job bartender catered wedding french chateau affair end groom disgrace furious bride andy returning ruin everything first printing,fiction,Literature & Drama
9780060852559,0060852550,"Animal, Vegetable, Miracle",Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,Biography & Autobiography,"Bestselling author Barbara Kingsolver returns with her first nonfiction narrative that will open your eyes in a hundred new ways to an old truth: You are what you eat. ""As the U.S. population made an unprecedented mad dash for the Sun Belt, one carload of us paddled against the tide, heading for the Promised Land where water falls from the sky and green stuff grows all around. We were about to begin the adventure of realigning our lives with our food chain. ""Naturally, our first stop was to buy junk food and fossil fuel. . . ."" Hang on for the ride: With characteristic poetry and pluck, Barbara Kingsolver and her family sweep readers along on their journey away from the industrial-food pipeline to a rural life in which they vow to buy only food raised in their own neighborhood, grow it themselves, or learn to live without it. Their good-humored search yields surprising discoveries about turkey sex life and overly zealous zucchini plants, en route to a food culture that's better for the neighborhood and also better on the table. Part memoir, part journalistic investigation, Animal, Vegetable, Miracle makes a passionate case for putting the kitchen back at the center of family life and diversified farms at the center of the American diet. ""This is the story of a year in which we made every attempt to feed ourselves animals and vegetables whose provenance we really knew . . . and of how our family was changed by our first year of deliberately eating food produced from the same place where we worked, went to school, loved our neighbors, drank the water, and breathed the air.""",http://books.google.com/books/content?id=qLkEYjv5BHgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.04,370.0,bestselling author barbara kingsolver return first nonfiction narrative open eye hundred new way old truth eat u population made unprecedented mad dash sun belt one carload u paddled tide heading promised land water fall sky green stuff grows around begin adventure realigning life food chain naturally first stop buy junk food fossil fuel hang ride characteristic poetry pluck barbara kingsolver family sweep reader along journey away industrialfood pipeline rural life vow buy food raised neighborhood grow learn live without goodhumored search yield surprising discovery turkey sex life overly zealous zucchini plant en route food culture thats better neighborhood also better table part memoir part journalistic investigation animal vegetable miracle make passionate case putting kitchen back center family life diversified farm center american diet story year made every attempt feed animal vegetable whose provenance really knew family changed first year deliberately eating food produced place worked went school loved neighbor drank water breathed air,nonfiction,Biography & History
9780060853983,0060853980,Good Omens,Neil Gaiman;Terry Pratchett,Fiction,"According to The Nice and Accurate Prophecies of Agnes Nutter, Witch (the world's only completely accurate book of prophecies, written in 1655, before she exploded), the world will end on a Saturday. Next Saturday, in fact. Just before dinner. So the armies of Good and Evil are amassing, Atlantis is rising, frogs are falling, tempers are flaring. Everything appears to be going according to Divine Plan. Except a somewhat fussy angel and a fast-living demon—both of whom have lived amongst Earth's mortals since The Beginning and have grown rather fond of the lifestyle—are not actually looking forward to the coming Rapture. And someone seems to have misplaced the Antichrist . . .",http://books.google.com/books/content?id=7erEbfDOcgkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.25,412.0,according nice accurate prophecy agnes nutter witch world completely accurate book prophecy written exploded world end saturday next saturday fact dinner army good evil amassing atlantis rising frog falling temper flaring everything appears going according divine plan except somewhat fussy angel fastliving demonboth lived amongst earth mortal since beginning grown rather fond lifestyleare actually looking forward coming rapture someone seems misplaced antichrist,fiction,Literature & Drama
9780060854096,006085409X,Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,Fiction,"She thought her date was out of this world. Actually, he was not of this world . . . We've all been on bad dates, nightmare dates, dreadful experiences that turned out to be uniquely memorable in the very worst way. But at least our partners for these detestable evenings were more or less . . . human! Now Kim Harrison, Lynsay Sands, Kelley Armstrong, and Lori Handeland -- four of the very best writers currently exploring the dangerous seduction of the supernatural -- offer up dating disasters (and unexpected delights) of a completely different sort: dark, wicked, paranormally sensual assignations with werewolves, demon lovers, and the romantically challenged undead. Sexy, witty, chilling, and altogether remarkable, here is proof positive that some love matches are made someplace other than heaven.",http://books.google.com/books/content?id=D07pnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.78,416.0,thought date world actually world weve bad date nightmare date dreadful experience turned uniquely memorable worst way least partner detestable evening less human kim harrison lynsay sand kelley armstrong lori handeland four best writer currently exploring dangerous seduction supernatural offer dating disaster unexpected delight completely different sort dark wicked paranormally sensual assignation werewolf demon lover romantically challenged undead sexy witty chilling altogether remarkable proof positive love match made someplace heaven,fiction,Literature & Drama
9780060854942,0060854944,Continental Drift,Russell Banks,Fiction,"A powerful literary classic from one of contemporary fiction's most acclaimed and important writers, Russell Banks's Continental Drift is a masterful novel of hope lost and gained, and a gripping, indelible story of fragile lives uprooted and transformed by injustice, disappointment, and the seductions and realities of the American dream.",http://books.google.com/books/content?id=VDRLPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.87,408.0,powerful literary classic one contemporary fiction acclaimed important writer russell banks continental drift masterful novel hope lost gained gripping indelible story fragile life uprooted transformed injustice disappointment seduction reality american dream,fiction,Literature & Drama
9780060872793,0060872799,The Burglar Who Thought He Was Bogart,Lawrence Block,Fiction,"Bookseller Bernie Rhodenbarr's in love—with an exotic Eastern European beauty who shares his obsession with Humphrey Bogart movies. He's in heaven, munching popcorn with his new amour every night at a Bogart Film Festival—until their Casablanca-esque idyll is cut short by his other secret passion: burglary. When he's hired to pilfer a portfolio of valuable documents from a Park Avenue apartment, Bernie can hardly refuse. But the occupant's early return forces Bernie to flee empty-handed—and he soon finds himself implicated in a murder. Before you can say ""who stole the strawberries?"" he's hunting for a killer, up to his neck in the outrageous intrigues of a tiny Balkan nation . . . and menaced by more sinister fat men and unsavory toadies than the great Bogie himself butted heads with in pursuit of that darn bird!",http://books.google.com/books/content?id=TaXSmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.89,400.0,bookseller bernie rhodenbarrs lovewith exotic eastern european beauty share obsession humphrey bogart movie he heaven munching popcorn new amour every night bogart film festivaluntil casablancaesque idyll cut short secret passion burglary he hired pilfer portfolio valuable document park avenue apartment bernie hardly refuse occupant early return force bernie flee emptyhandedand soon find implicated murder say stole strawberry he hunting killer neck outrageous intrigue tiny balkan nation menaced sinister fat men unsavory toady great bogie butted head pursuit darn bird,fiction,Literature & Drama
9780060872984,0060872985,Next,Michael Crichton,Fiction,"Is a loved one missing some body parts? Are blondes becoming extinct? Is everyone at your dinner table of the same species? Humans and chimpanzees differ in only 400 genes; is that why a chimp fetus resembles a human being? And should that worry us? There's a new genetic cure for drug addiction—is it worse than the disease? We live in a time of momentous scientific leaps, a time when it's possible to sell our eggs and sperm online for thousands of dollars and to test our spouses for genetic maladies. We live in a time when one fifth of all our genes are owned by someone else, and an unsuspecting person and his family can be pursued cross-country because they happen to have certain valuable genes within their chromosomes . . . Devilishly clever, Next blends fact and fiction into a breathless tale of a new world where nothing is what it seems and a set of new possibilities can open at every turn. Next challenges our sense of reality and notions of morality. Balancing the comic and the bizarre with the genuinely frightening and disturbing, Next shatters our assumptions and reveals shocking new choices where we least expect. The future is closer than you think.",http://books.google.com/books/content?id=ss1hXL1PTYIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.49,431.0,loved one missing body part blonde becoming extinct everyone dinner table specie human chimpanzee differ gene chimp fetus resembles human worry u there new genetic cure drug addictionis worse disease live time momentous scientific leap time possible sell egg sperm online thousand dollar test spouse genetic malady live time one fifth gene owned someone else unsuspecting person family pursued crosscountry happen certain valuable gene within chromosome devilishly clever next blend fact fiction breathless tale new world nothing seems set new possibility open every turn next challenge sense reality notion morality balancing comic bizarre genuinely frightening disturbing next shatters assumption reveals shocking new choice least expect future closer think,fiction,Literature & Drama
9780060880125,0060880120,How to Be Popular,Meg Cabot,Juvenile Fiction,"Sixteen-year-old Steph Landry finds an old book on how to be popular and decides to change her social status by following its advice, much to the bafflement of her two best friends.",http://books.google.com/books/content?id=uRsWyFiZcIkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.54,288.0,sixteenyearold steph landry find old book popular decides change social status following advice much bafflement two best friend,fiction,Childrens Books
9780060882600,0060882603,The Annotated Charlotte's Web,E. B. White,Juvenile Nonfiction,"Charlotte's Web, one of America's best-loved children's books, is seamless in plot, poignant in its delineation of characters who will live in children's literature forever, and written with a seeming ease and fluency that make the reading as engrossing as it is effortless. The Annotated Charlotte's Web opens the door to the creator's workshop and allows the reader to glance over the shoulder of one of the most exacting and fastidious American writers, watching as he forms his masterpiece.",http://books.google.com/books/content?id=vaYYHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16,320.0,charlotte web one america bestloved childrens book seamless plot poignant delineation character live childrens literature forever written seeming ease fluency make reading engrossing effortless annotated charlotte web open door creator workshop allows reader glance shoulder one exacting fastidious american writer watching form masterpiece,nonfiction,Childrens Books
9780060882815,0060882816,Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz,Juvenile Fiction,"When Wilbur the pig moves to a new farm, he is scared until he meets Charlotte, a friendly spider.",http://books.google.com/books/content?id=Syl29aq6kTEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,32.0,wilbur pig move new farm scared meet charlotte friendly spider,fiction,Childrens Books
9780060882860,0060882867,The Autumn of the Patriarch,Gabriel Garcia Marquez,Fiction,"One of Gabriel García Márquez's most intricate and ambitious works, The Autumn of the Patriarch is a brilliant tale of a Caribbean tyrant and the corruption of power. From charity to deceit, benevolence to violence, fear of God to extreme cruelty, the dictator of The Autumn of the Patriarch embodies the best and the worst of human nature. Gabriel García Márquez, the renowned master of magical realism, vividly portrays the dying tyrant caught in the prison of his own dictator-ship. Employing an innovative, dreamlike style, and overflowing with symbolic descriptions, the novel transports the reader to a world that is at once fanciful and real.",http://books.google.com/books/content?id=OMqGpe7qqFoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.85,255.0,one gabriel garca mrquezs intricate ambitious work autumn patriarch brilliant tale caribbean tyrant corruption power charity deceit benevolence violence fear god extreme cruelty dictator autumn patriarch embodies best worst human nature gabriel garca mrquez renowned master magical realism vividly portrays dying tyrant caught prison dictatorship employing innovative dreamlike style overflowing symbolic description novel transport reader world fanciful real,fiction,Literature & Drama
9780060884055,0060884053,How to Make Money Like a Porn Star,Neil Strauss;Bernard Chang,Comics & Graphic Novels,"Claudia Corvette. From her tousled bedroom hair to her name–all the porn stars in this world take their names from supermodels and sports cars–she is adult entertainment's prototypical femme fatale. Her life is the collision of countless troubled–childhood cliches and grown–up wet dreams, projected onto her as surely as her videos project their blue light onto lonely men around the world. From its first panel, How to Make Money Like a Porn Star draws the reader into the dark world of girls like Claudia, the men who fantasize about them, and the monsters who control them. In the hands of Rolling Stone writer Neil Strauss and illustrator Bernard Chang, this adult graphic novel weaves together black humor and blacker reality. Like all great American stories, it features humble beginnings, life–changing tragedy, stripping, abuse, implants, fame, addiction, bigger implants, abduction, gunplay, downfall, and even bigger implants. Not to mention a thousand shades of latex and L'Oreal. Part parody, part morality tale, here is the truth about the porn life, its outsized visual splendor captured in a comic parade of doe–eyed centerfolds, its essence distilled in a story that will haunt every reader who has ever wondered where his next fantasy is coming from.",http://books.google.com/books/content?id=y7XAOeCeMcAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.31,128.0,claudia corvette tousled bedroom hair nameall porn star world take name supermodel sport carsshe adult entertainment prototypical femme fatale life collision countless troubledchildhood cliche grownup wet dream projected onto surely video project blue light onto lonely men around world first panel make money like porn star draw reader dark world girl like claudia men fantasize monster control hand rolling stone writer neil strauss illustrator bernard chang adult graphic novel weave together black humor blacker reality like great american story feature humble beginning lifechanging tragedy stripping abuse implant fame addiction bigger implant abduction gunplay downfall even bigger implant mention thousand shade latex loreal part parody part morality tale truth porn life outsized visual splendor captured comic parade doeeyed centerfold essence distilled story haunt every reader ever wondered next fantasy coming,fiction,Literature & Drama
9780060885373,0060885378,Little House in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,"A year in the life of two young girls growing up on the Wisconsin frontier, as they help their mother with the daily chores, enjoy their father's stories and singing, and share special occasions when they get together with relatives or neighbors.",http://books.google.com/books/content?id=7JctNysS3xkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.18,198.0,year life two young girl growing wisconsin frontier help mother daily chore enjoy father story singing share special occasion get together relative neighbor,fiction,Childrens Books
9780060885380,0060885386,Farmer Boy,Laura Ingalls Wilder,Juvenile Fiction,"At the end of the nineteenth century, nine-year-old Almanzo lives with his family on a big farm in New York State where he raises his own two calves, helps cut ice and shear sheep, and longs for the day he can have his own colt.",http://books.google.com/books/content?id=YapzZwOTEDoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.06,357.0,end nineteenth century nineyearold almanzo life family big farm new york state raise two calf help cut ice shear sheep longs day colt,fiction,Childrens Books
9780060885427,0060885424,The Long Winter,Laura Ingalls Wilder,Juvenile Fiction,"After an October blizzard, Laura's family moves from the claim shanty into town for the winter, a winter that an Indian has predicted will be seven months of bad weather. A Newbery Honor Book. Reissue.",http://books.google.com/books/content?id=Il_yCqjP6N0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.14,422.0,october blizzard lauras family move claim shanty town winter winter indian predicted seven month bad weather newbery honor book reissue,fiction,Childrens Books
9780060885434,0060885432,Little Town on the Prairie,Laura Ingalls Wilder,Juvenile Fiction,Laura spends her fifteenth summer working hard to help send Mary to a college for the blind.,http://books.google.com/books/content?id=LFvnVkq3ZUwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.18,374.0,laura spends fifteenth summer working hard help send mary college blind,fiction,Childrens Books
9780060885458,0060885459,The First Four Years,Laura Ingalls Wilder,Juvenile Fiction,"During their first four years of marriage, Laura and Almanzo Wilder have a child and fight a losing battle in their attempts to succeed at farming on the South Dakota prairie. Reissue.",http://books.google.com/books/content?id=_HqHxm0kuIUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.88,126.0,first four year marriage laura almanzo wilder child fight losing battle attempt succeed farming south dakota prairie reissue,fiction,Childrens Books
9780060887964,0060887966,The Alchemist - Gift Edition,Paulo Coelho,Fiction,"""My heart is afraid that it will have to suffer,"" the boy told the alchemist one night as they looked up at the moonless sky."" Tell your heart that the fear of suffering is worse than the suffering itself. And that no heart has ever suffered when it goes in search of its dreams."" Every few decades a book is published that changes the lives of its readers forever. The Alchemist is such a book. With over a million and a half copies sold around the world, The Alchemist has already established itself as a modern classic, universally admired. Paulo Coelho's charming fable, now available in English for the first time, will enchant and inspire an even wider audience of readers for generations to come. The Alchemist is the magical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure as extravagant as any ever found. From his home in Spain he journeys to the markets of Tangiers and across the Egyptian desert to a fateful encounter with the alchemist. The story of the treasures Santiago finds along the way teaches us, as only a few stories have done, about the essential wisdom of listening to our hearts, learning to read the omens strewn along life's path, and, above all, following our dreams.",http://books.google.com/books/content?id=h6QuJZffgHYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.85,192.0,heart afraid suffer boy told alchemist one night looked moonless sky tell heart fear suffering worse suffering heart ever suffered go search dream every decade book published change life reader forever alchemist book million half copy sold around world alchemist already established modern classic universally admired paulo coelhos charming fable available english first time enchant inspire even wider audience reader generation come alchemist magical story santiago andalusian shepherd boy yearns travel search worldly treasure extravagant ever found home spain journey market tangier across egyptian desert fateful encounter alchemist story treasure santiago find along way teach u story done essential wisdom listening heart learning read omen strewn along life path following dream,fiction,Literature & Drama
9780060889449,0060889446,Pretty Things,Liz Goldwyn,Biography & Autobiography,"Liz Goldwyn's lifelong fascination with the inimitable glamour of classic burlesque inspired her to spend the past eight years corresponding with, visiting, interviewing, receiving striptease lessons from, and forming close relationships with the last generation of the great American burlesque queeens. Goldwyn invites us to step back into an era when the hourglass figure was in vogue and striptease was a true art form. Meet Betty ""Ball of Fire"" Rowland, who was known for her flaming red hair and bump–and–grind routines. (It turns out she once sued the author's grandfather, Samuel Goldwyn Jr., for using her stage name and costume in his Hollywood picture, Ball of Fire.) Meet Sherry Britton, who, with her long black hair and curvy, trim physique, was among the most stunning of the burlesque stars before Mayor LaGuardia outlawed burlesque in New York. Meet Zorita, whose sexually explicit ""Consummation of the Wedding of the Snake"" dance (performed with a live snake) and other daring performances earned her legendary status. Goldwyn draws back the curtain to reveal the personal journeys of yesteryear's icons of female sexuality and power, restoring their legacy to an age that has all but forgotten them–despite today's resurgence of burlesque.",http://books.google.com/books/content?id=2NhyQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.31,304.0,liz goldwyn lifelong fascination inimitable glamour classic burlesque inspired spend past eight year corresponding visiting interviewing receiving striptease lesson forming close relationship last generation great american burlesque queeens goldwyn invite u step back era hourglass figure vogue striptease true art form meet betty ball fire rowland known flaming red hair bumpandgrind routine turn sued author grandfather samuel goldwyn jr using stage name costume hollywood picture ball fire meet sherry britton long black hair curvy trim physique among stunning burlesque star mayor laguardia outlawed burlesque new york meet zorita whose sexually explicit consummation wedding snake dance performed live snake daring performance earned legendary status goldwyn draw back curtain reveal personal journey yesteryear icon female sexuality power restoring legacy age forgotten themdespite today resurgence burlesque,nonfiction,Biography & History
9780060891565,0060891564,Eaters of the Dead,Michael Crichton,Fiction,"An ambassador of the tenth-century Caliph of Bagdad is carried off by the Norsemen to endure, for three years, the harshness of their way of life and the creatures that terrorize them.",http://books.google.com/books/content?id=o2yu6uJF2SoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.66,304.0,ambassador tenthcentury caliph bagdad carried norseman endure three year harshness way life creature terrorize,fiction,Literature & Drama
9780060898656,0060898658,The Zero,Jess Walter,Fiction,"Five days after a terrorist attack decimates his home city, Brian Remy struggles with gaps in his memory pertaining to a self-inflicted gunshot wound, a girlfriend whose name he does not know, and deteriorating eyesight, a situation that is further challenged when he is recruited to gather information for a shadowy intelligence operation. 100,000 first printing.",http://books.google.com/books/content?id=x5JrBQ4bfLsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.5,336.0,five day terrorist attack decimates home city brian remy struggle gap memory pertaining selfinflicted gunshot wound girlfriend whose name know deteriorating eyesight situation challenged recruited gather information shadowy intelligence operation first printing,fiction,Literature & Drama
9780060899226,0060899220,Kitchen Confidential Updated Ed,Anthony Bourdain,Biography & Autobiography,"A deliciously funny, delectably shocking banquet of wild-but-true tales of life in the culinary trade from Chef Anthony Bourdain, laying out his more than a quarter-century of drugs, sex, and haute cuisine—now with all-new, never-before-published material",http://books.google.com/books/content?id=bxLbZ2kGddIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.06,312.0,deliciously funny delectably shocking banquet wildbuttrue tale life culinary trade chef anthony bourdain laying quartercentury drug sex haute cuisinenow allnew neverbeforepublished material,nonfiction,Biography & History
9780060913076,006091307X,The Crying of Lot 49,Thomas Pynchon,Fiction,"The highly original satire about Oedipa Maas, a woman who finds herself enmeshed in a worldwide conspiracy, meets some extremely interesting characters, and attains a not inconsiderable amount of self knowledge.",http://books.google.com/books/content?id=njOBt0OWKOQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.7,152.0,highly original satire oedipa maas woman find enmeshed worldwide conspiracy meet extremely interesting character attains inconsiderable amount self knowledge,fiction,Literature & Drama
9780060915186,0060915188,An American Childhood,Annie Dillard,Biography & Autobiography,"A book that instantly captured the hearts of readers across the country, An American Childhood is Pulitzer Prize-winning author Annie Dillard's poignant, vivid memoir of growing up in Pittsburgh in the 1950s.",http://books.google.com/books/content?id=tRihTvnOM-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.91,255.0,book instantly captured heart reader across country american childhood pulitzer prizewinning author annie dillards poignant vivid memoir growing pittsburgh,nonfiction,Biography & History
